repository_path,route,category,naming_role,size_bytes,sha256,legacy_workspace_path,legacy_sha256,transformation
boltzgen/reports/manifests/boltzgen_mvp_data_assets_20260818.artifact.json,boltzgen,manifest,dated_artifact,147709,f2b2a77989b46dee299e644b3a564640002f3eb07f183b3d5d7a018929b218c9,data/boltzgen_data/mvp_assets_v0.3.2/metadata/report_artifact.json,f2b2a77989b46dee299e644b3a564640002f3eb07f183b3d5d7a018929b218c9,copied_preserving_bytes
boltzgen/reports/manifests/boltzgen_nanobody_mps_smoke_20260819.artifact.json,boltzgen,manifest,dated_artifact,772602,d16a9257d1c79981d250e879b98694fe334d1be0675b254b6ca0acaccc968e6e,data/boltzgen_data/mvp_run_001/report/report_artifact.json,d16a9257d1c79981d250e879b98694fe334d1be0675b254b6ca0acaccc968e6e,copied_preserving_bytes
boltzgen/reports/manifests/boltzgen_old12_glp1_mac_enhanced_20260820.artifact.json,boltzgen,manifest,dated_artifact,371936,eb062dee9fc5d75f50a9ae7811a0e4b4631abc37fcb59a51a581e6d9f9e8eb35,data/boltzgen_data/boltzgen_mac_enhanced_old12_glp1_20260820/report/report_artifact.json,da793f5a68e69bf329dd1aa329c6a58eadff136f6552928b701838c721c7ab20,copied_renamed_and_sanitized
boltzgen/reports/manifests/boltzgen_old12_glp1_round1_20260819.artifact.json,boltzgen,manifest,dated_artifact,319477,2c6441707224a3ebad7598989b9a1d2f08692b56908160b5d975077cc56fa7be,data/boltzgen_data/boltzgen_round1_old12_glp1_20260819/report/report_artifact.json,2c6441707224a3ebad7598989b9a1d2f08692b56908160b5d975077cc56fa7be,copied_preserving_bytes
boltzgen/reports/manifests/boltzgen_vhh_glp1_algorithm_20260819.artifact.json,boltzgen,manifest,dated_artifact,177282,f5b8bf4c88e450292f1481a79ec62ea639a52e7e65dc5e003c7521f5ac49933c,data/boltzgen_data/boltzgen_vhh_glp1_explainer/artifact.json,f5b8bf4c88e450292f1481a79ec62ea639a52e7e65dc5e003c7521f5ac49933c,copied_preserving_bytes
boltzgen/reports/manifests/sabdab2_vhh_scaffold_screening_20260819.artifact.json,boltzgen,manifest,dated_artifact,536374,00854760e2800c5b0b2e01572e27f6bba7219a0ff19e17a00ac21ac1edc8e330,data/boltzgen_data/sabdab2_vhh_scaffolds_v1/artifact_source/artifact.json,00854760e2800c5b0b2e01572e27f6bba7219a0ff19e17a00ac21ac1edc8e330,copied_preserving_bytes
boltzgen/resources/data/AI结构资产验证登记册_20260826/结构队列摘要_20260826.tsv,boltzgen,curated_data,dated_artifact,3290,e53c77e986fb3949f3b0517006176f3135936cb21edd6ca5d023c24c19ac9d95,data/boltzgen_data/ai_validation_assets_v1/cohort_summary.tsv,e53c77e986fb3949f3b0517006176f3135936cb21edd6ca5d023c24c19ac9d95,copied_preserving_bytes
boltzgen/resources/data/AI结构资产验证登记册_20260826/结构队列登记册_20260826.tsv,boltzgen,curated_data,dated_artifact,4391,065371ff4f73cca0c4fec8a17c2a07ca2b46abd6798b80fb2a7b82906a004b24,data/boltzgen_data/ai_validation_assets_v1/cohort_registry.tsv,065371ff4f73cca0c4fec8a17c2a07ca2b46abd6798b80fb2a7b82906a004b24,copied_preserving_bytes
boltzgen/resources/data/AI结构资产验证登记册_20260826/验证摘要_20260826.json,boltzgen,curated_data,dated_artifact,3162,1b4d9f024cb99518bb0cd73b29f6cef3c72ea4a23b114bd612b9f65e9b8cb01b,data/boltzgen_data/ai_validation_assets_v1/validation_summary.json,1b4d9f024cb99518bb0cd73b29f6cef3c72ea4a23b114bd612b9f65e9b8cb01b,copied_preserving_bytes
boltzgen/resources/data/AI结构资产验证登记册_20260826/骨架集合对比_20260826.tsv,boltzgen,curated_data,dated_artifact,1651,5c3291a3b0574bc862951a285e02c046b711e864863bee2b7884a6ace9065c1c,data/boltzgen_data/ai_validation_assets_v1/scaffold_comparison.tsv,5c3291a3b0574bc862951a285e02c046b711e864863bee2b7884a6ace9065c1c,copied_preserving_bytes
