arm	candidate_id	sample_index	framework_aligned_cdr_rmsd_angstrom	target_aligned_cdr_rmsd_angstrom	framework_gate_pass	design_to_target_iptm	design_ptm	iptm	ptm	design_npz_sha256	fold_npz_sha256
internal	design_7	2	1.962741474	62.190646111	true	0.085755236	0.715551555	0.090269603	0.590553343	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	6205e5ccaddcc5fdb33dfc8c6f13b47c16ba054a75aa89545eb05ecce845ec70
internal	design_7	3	1.506688525	38.793254723	true	0.130870342	0.729984105	0.130870342	0.610469043	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	6205e5ccaddcc5fdb33dfc8c6f13b47c16ba054a75aa89545eb05ecce845ec70
internal	design_7	4	1.831172557	68.355604863	true	0.076785386	0.715896308	0.079074897	0.587539256	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	6205e5ccaddcc5fdb33dfc8c6f13b47c16ba054a75aa89545eb05ecce845ec70
internal	design_8	0	0.996011863	51.287899946	true	0.160589829	0.721387088	0.196003929	0.612153351	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	44169fb59194a849c31b13e91f705771a3d549ee5d7c6c02efb81f6fbb5c9ba5
internal	design_8	1	1.466038380	54.670016676	true	0.163767323	0.735982776	0.182318941	0.625410676	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	44169fb59194a849c31b13e91f705771a3d549ee5d7c6c02efb81f6fbb5c9ba5
internal	design_8	2	1.450389187	62.946331775	true	0.135274589	0.707179368	0.166401550	0.596075535	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	44169fb59194a849c31b13e91f705771a3d549ee5d7c6c02efb81f6fbb5c9ba5
internal	design_8	3	1.443047984	45.364039184	true	0.173223153	0.730566561	0.226290599	0.625199795	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	44169fb59194a849c31b13e91f705771a3d549ee5d7c6c02efb81f6fbb5c9ba5
internal	design_8	4	1.328101142	65.805656931	true	0.119618520	0.701518238	0.140936077	0.587390482	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	44169fb59194a849c31b13e91f705771a3d549ee5d7c6c02efb81f6fbb5c9ba5
internal	design_9	0	1.616268411	59.909118399	true	0.077656657	0.694996834	0.079041123	0.570612848	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	fb6da118f28b5af11eb1b6bf298d14589580216102be4745550a05524c7cfdb5
internal	design_9	1	1.459223661	28.368094513	true	0.104696982	0.712053001	0.113705888	0.592214346	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	fb6da118f28b5af11eb1b6bf298d14589580216102be4745550a05524c7cfdb5
